Time,x_d,y_d,theta_d,delta_,v_,ddelta_dt
5.0542118,2.1791163,-0.6841353,-0.800244,-0.6178478,0.4520102,-0.1548909
5.1042535,2.1918388,-0.697424,-0.8141181,-0.6254694,0.4524998,-0.1524333
5.1542952,2.2043205,-0.7108309,-0.8281539,-0.6329542,0.4530342,-0.1496945
5.2043369,2.2165601,-0.7243555,-0.8423497,-0.6402878,0.4536101,-0.1466737
5.2543786,2.2285562,-0.7379975,-0.8567031,-0.6474564,0.4542239,-0.1433715
5.3044204,2.2403075,-0.7517566,-0.8712117,-0.6544459,0.4548718,-0.1397892
5.3544621,2.2518128,-0.7656324,-0.8858726,-0.6612423,0.4555496,-0.1359293
5.4045038,2.2630707,-0.7796244,-0.9006827,-0.6678321,0.4562532,-0.1317951
5.4545455,2.27408,-0.7937323,-0.9156384,-0.6742016,0.4569781,-0.1273909
5.5045872,2.2848395,-0.8079558,-0.9307358,-0.6803378,0.4577195,-0.1227222
5.5546289,2.295348,-0.8222943,-0.9459708,-0.6862275,0.4584729,-0.1177951
5.6046706,2.3056044,-0.8367476,-0.9613386,-0.6918583,0.4592331,-0.1126166
5.6547123,2.3156076,-0.8513152,-0.9768344,-0.6972181,0.4599955,-0.1071948
5.704754,2.3253564,-0.8659968,-0.992453,-0.702295,0.4607548,-0.1015382
5.7547957,2.3348498,-0.8807918,-1.0081886,-0.7070778,0.4615063,-0.0956562
5.8048374,2.3440866,-0.8957,-1.0240353,-0.7115558,0.462245,-0.089559
5.8548791,2.3530661,-0.9107209,-1.0399868,-0.7157186,0.462966,-0.0832571
5.9049208,2.361787,-0.9258541,-1.0560365,-0.7195567,0.4636647,-0.0767619
5.9549625,2.3702485,-0.9410992,-1.0721774,-0.723061,0.4643365,-0.0700852
6.0050042,2.3784497,-0.9564557,-1.0884024,-0.7262229,0.4649773,-0.0632391
6.0550459,2.3863896,-0.9719233,-1.1047039,-0.7290347,0.4655829,-0.0562364
6.1050876,2.3940673,-0.9875014,-1.1210742,-0.7314893,0.4661497,-0.0490902
6.1551293,2.4014821,-1.0031898,-1.1375052,-0.7335799,0.4666742,-0.0418139
6.205171,2.4086331,-1.018988,-1.1539887,-0.735301,0.4671535,-0.0344212
6.2552127,2.4155195,-1.0348954,-1.1705163,-0.7366473,0.4675849,-0.0269261
6.3052544,2.4221406,-1.0509118,-1.1870794,-0.7376145,0.4679665,-0.019343
6.3552961,2.4284957,-1.0670365,-1.2036693,-0.7381988,0.4682963,-0.0116863
6.4053378,2.4345839,-1.0832693,-1.2202771,-0.7383973,0.4685733,-0.0039708
6.4553795,2.4404048,-1.0996097,-1.2368938,-0.7382079,0.4687968,0.0037885
6.5054212,2.4459576,-1.1160572,-1.2535105,-0.7376291,0.4689666,0.0115766
6.5554629,2.4512417,-1.1326113,-1.2701182,-0.7366602,0.4690831,0.0193782
6.6055046,2.4562566,-1.1492716,-1.2867077,-0.7353013,0.4691471,0.0271779
6.6555463,2.4610016,-1.1660377,-1.30327,-0.7335533,0.46916,0.0349602
6.705588,2.4654763,-1.182909,-1.3197964,-0.7314178,0.4691238,0.0427094
6.7556297,2.4696803,-1.1998852,-1.3362777,-0.7288973,0.4690408,0.0504098
6.8056714,2.4736129,-1.2169657,-1.3527055,-0.725995,0.4689139,0.0580458
6.8557131,2.4772738,-1.2341502,-1.3690709,-0.7227149,0.4687464,0.0656014
6.9057548,2.4806626,-1.251438,-1.3853657,-0.7190619,0.4685422,0.0730611
6.9557965,2.4837789,-1.2688288,-1.4015815,-0.7150414,0.4683053,0.0804089
7.0058382,2.4866224,-1.286322,-1.4177104,-0.71066,0.4680402,0.0876295
